Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
43.2,0.000439872,12.49509,2.002508
43.3,0.000440876,12.356765,2.008704
43.4,0.000441872,12.486289,2.014774
43.5,0.000442875,12.468279,2.020742
43.6,0.00044387,12.505412,2.026987
43.7,0.000444878,12.481707,2.036067
43.8,0.000445875,12.460773,2.042948
43.9,0.000446874,12.507118,2.0476
44,0.000447873,12.497161,2.05232
44.1,0.000448872,12.515283,2.058606
44.2,0.000449871,12.441373,2.064262
44.3,0.000450879,12.534914,2.070705
44.4,0.000451884,12.503043,2.076602
44.5,0.000452864,12.506638,2.082191
44.6,0.000453865,12.494928,2.085778
44.7,0.000454874,12.496746,2.091196
44.8,0.000455877,12.503634,2.097916
44.9,0.000456886,12.473488,2.103954
45,0.000457885,12.572558,2.109834
45.1,0.000458881,12.371576,2.116231
45.2,0.000459868,12.526046,2.123693
45.3,0.00046087,12.517125,2.12778
45.4,0.000461863,12.519531,2.134566
45.5,0.000462868,12.530083,2.14048
45.6,0.000463872,12.555641,2.145872
45.7,0.000464874,12.535791,2.152139
45.8,0.000465883,12.499271,2.159282
45.9,0.000466878,12.498115,2.164072
46,0.000467874,12.436737,2.171323
46.1,0.000468874,12.559062,2.178052
46.2,0.000469882,12.525045,2.183115
46.3,0.000470874,12.570032,2.18835
46.4,0.000471875,12.57359,2.193531
46.5,0.00047288,12.526992,2.200777
46.6,0.00047387,12.582198,2.208272
46.7,0.000474882,12.504184,2.215266
46.8,0.000475881,12.595795,2.222734
46.9,0.00047687,12.556568,2.228674
47,0.000477883,12.513383,2.23256
47.1,0.000478887,12.573385,2.236551
47.2,0.000479881,12.570237,2.24184
47.3,0.000480877,12.599839,2.251203
47.4,0.000481883,12.596125,2.256639
47.5,0.000482873,12.570191,2.263313
47.6,0.000483865,12.608704,2.267241
47.7,0.000484879,12.627089,2.27309
47.8,0.000485874,12.47718,2.279017
47.9,0.000486873,12.539967,2.285916
48,0.000487866,12.572918,2.293664
48.1,0.000488868,12.553599,2.298937
48.2,0.000489864,12.594897,2.303199
48.3,0.00049088,12.618705,2.308713
48.4,0.000491885,12.620458,2.315523
48.5,0.000492867,12.599925,2.32201
48.6,0.000493862,12.541374,2.327409
48.7,0.000494868,12.634419,2.334341
48.8,0.000495882,12.585421,2.34125
48.9,0.00049688,12.569993,2.347717
49,0.000497872,12.574839,2.353791
49.1,0.000498876,12.572256,2.35826
49.2,0.000499878,12.573214,2.365442
49.3,0.000500866,12.568304,2.370919
49.4,0.000501876,12.624058,2.377822
49.5,0.000502878,12.606437,2.383064
49.6,0.000503875,12.632057,2.390327
49.7,0.000504883,12.548728,2.397557
49.8,0.000505874,12.565694,2.402178
49.9,0.000506856,12.60353,2.409138
50,0.000507866,12.574861,2.416286
50.1,0.00050887,12.589072,2.421653
50.2,0.000509875,12.59393,2.427735
50.3,0.00051086,12.550344,2.434964
50.4,0.000511871,12.660428,2.441401
50.5,0.000512881,12.576407,2.448576
50.6,0.000513877,12.56349,2.455317
50.7,0.000514861,12.613634,2.461986
50.8,0.000515868,12.593608,2.466834
50.9,0.000516867,12.604282,2.474491
51,0.000517879,12.604279,2.481487
51.1,0.000518884,12.588536,2.487384
51.2,0.000519868,12.567619,2.492587
51.3,0.000520883,12.564498,2.49887
51.4,0.00052187,12.544,2.505663
51.5,0.000522877,12.681377,2.511464
51.6,0.000523884,12.607198,2.518179
51.7,0.000524868,12.584158,2.525139
51.8,0.000525877,12.617164,2.531059
51.9,0.000526872,12.587797,2.538162
52,0.000527865,12.630054,2.543869
52.1,0.000528874,12.616803,2.551196
52.2,0.000529865,12.625157,2.556997
52.3,0.000530876,12.63392,2.562229
52.4,0.000531876,12.660533,2.568713
52.5,0.000532869,12.603861,2.576113
52.6,0.000533869,12.601388,2.581878
52.7,0.00053487,12.59284,2.587707
52.8,0.000535872,12.609311,2.594902
52.9,0.000536866,12.614696,2.600013
53,0.000537879,12.587337,2.607667
53.1,0.000538866,12.594818,2.614072
53.2,0.000539874,12.70205,2.61948
53.3,0.000540872,12.574136,2.627009
53.4,0.000541885,12.571409,2.632599
53.5,0.000542875,12.577893,2.639182
53.6,0.000543878,12.629362,2.646363
53.7,0.000544866,12.613639,2.651352
53.8,0.000545877,12.600506,2.658524
53.9,0.000546877,12.614208,2.665428
54,0.00054787,12.579861,2.672041
54.1,0.000548878,12.595851,2.679314
54.2,0.000549868,12.603623,2.685812
54.3,0.000550872,12.609065,2.692114
54.4,0.000551875,12.601668,2.698328
54.5,0.000552869,12.620902,2.704493
54.6,0.000553869,12.621078,2.709337
